Country ,IOS,Region,Population,GDP_PPP,GDP,GDP_PC_PPP,GDP_PC,HDI
Afghanistan,AFG,Southern Asia,30552,n/a,"20,496.78",n/a,n/a,0.374
Albania,ALB,Southern Europe,3173,"28,211.43","12,648.10","9,962.57","4,466.89",0.749
Algeria,DZA,Northern Africa,39208,"474,759.23","205,788.80","13,195.02","5,518.01",0.713
American Samoa,ASM,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Andorra,ADO,Southern Europe,79,n/a,n/a,n/a,n/a,0.846
Angola,AGO,Middle Africa,21472,"142,979.31","114,147.03","7,288.01","5,311.25",0.508
Anguilla,AIA,Caribbean,n/a,380.64,n/a,"27,274.21","20,981.85",n/a
Antigua and Barbuda,ATG,Caribbean,90,"1,757.58","1,134.16","20,540.40","13,172.13",0.76
Argentina,ARG,South America,41446,n/a,"475,501.68",n/a,n/a,0.811
Armenia,ARM,Western Asia,2977,"20,192.63","9,950.52","6,696.06","3,363.22",0.729
Aruba,ABW,Caribbean,n/a,"3,671.25",n/a,"36,016.67","25,354.91",n/a
Australia,AUS,Oceania,23343,"955,980.51","1,532,407.88","42,000.44","65,463.91",0.938
Austria,AUT,Western Europe,8495,"360,521.87","394,454.29","42,978.11","49,589.83",0.895
Azerbaijan,AZE,Western Asia,9413,"144,513.93","66,604.59","15,962.92","7,284.97",0.734
"Bahamas, The",BHS,Caribbean,377,"8,293.48","8,149.00","22,639.31","21,490.36",0.794
Bahrain,BHR,Western Asia,1332,"51,816.63","30,362.32","43,360.47","24,200.47",0.796
Bangladesh,BGD,Southern Asia,156595,"419,214.90","116,355.06","2,800.37",874.09,0.515
Barbados,BRB,Caribbean,285,"4,326.72","4,224.85","15,353.64","15,482.58",0.825
Belarus,BLR,Eastern Europe,9357,"157,283.93","63,267.02","16,603.09","5,595.66",0.793
Belgium,BEL,Western Europe,11104,"440,137.89","482,951.30","40,092.72","46,758.93",0.897
Belize,BLZ,Central America,332,"2,597.35",n/a,"8,212.20","4,721.20",0.702
Benin,BEN,Western Africa,10323,"16,071.10","7,557.29","1,766.07",801.07,0.436
Bermuda,BMU,Northern America,n/a,"3,553.15","5,473.54","54,898.65","85,838.92",n/a
Bhutan,BTN,Southern Asia,754,"5,099.02","1,779.56","7,199.31","2,600.14",0.538
Bolivia (Plurinational State of),BOL,South America,10671,"56,389.56","27,035.11","5,557.02","2,360.07",0.675
Bosnia and Herzegovina,BIH,Southern Europe,3829,"36,971.90","17,465.96","9,628.76","4,956.64",0.735
Botswana,BWA,Southern Africa,2021,"27,229.31","14,504.34","13,408.58","7,380.59",0.634
Brazil,BRA,South America,200362,"2,816,317.15","2,252,664.12","14,639.42","12,873.80",0.73
British Virgin Islands,VGB,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Brunei Darussalam,BRN,South-Eastern Asia,418,"29,265.55","16,953.95","74,396.62","42,431.94",0.855
Bulgaria,BGR,Eastern Europe,7223,"114,060.61","50,972.11","15,522.04","7,283.66",0.782
Burkina Faso,BFA,Western Africa,16935,"22,786.14","10,726.30","1,342.90",608.06,0.343
Burundi,BDI,Eastern Africa,10163,"6,106.47","2,472.38",712.11,240.43,0.355
Cabo Verde/ Cape Verde,CPV,Western Africa,499,"3,066.44","1,827.02","6,125.72","3,773.30",0.586
Cambodia,KHM,South-Eastern Asia,15135,"38,652.01","14,038.38","2,716.98",901.83,0.543
Cameroon,CMR,Middle Africa,22254,"55,215.70","25,321.59","2,756.60","1,327.35",0.495
Canada,CAN,Northern America,35182,"1,416,166.84","1,779,634.71","41,068.81","51,571.90",0.911
Cayman Islands,CYM,Caribbean,n/a,"2,812.30",n/a,"49,686.31","39,699.34",n/a
Central African Republic,CAF,Middle Africa,4616,"4,024.53","2,184.18",896.96,486.36,0.352
Chad,TCD,Middle Africa,12825,"22,860.89","12,887.07","1,983.51","1,052.75",0.34
Chile,CHL,South America,17620,"349,100.04","269,869.34","20,216.30","14,546.37",0.819
China,CHN,Eastern Asia,1385567,"13,495,910.44","8,227,102.63","10,056.71","5,456.06",0.699
